Variable,Coefficient,Absolute Coefficient
log(Cost) Opus V,0.010826774968885965,0.010826774968885965
Has EX Burst Opus IV,-0.010709339170683785,0.010709339170683785
Has EX Burst Opus II,0.009037483865907928,0.009037483865907928
Opus X,0.008504806860617536,0.008504806860617536
log(Cost) Ability Count,-0.008273632854584101,0.008273632854584101
Normal Opus IX,0.007745052645974519,0.007745052645974519
Desc Length Opus VI,0.007744527291713599,0.007744527291713599
Rare Opus II,0.007152926579192025,0.007152926579192025
Hero Opus III,0.005718879687885201,0.005718879687885201
Desc Length FF: Promo Cards,0.004389156522279836,0.004389156522279836
Rare Opus XI,0.004318644800258342,0.004318644800258342
Has EX Burst Opus VIII,-0.0041953159366723974,0.0041953159366723974
Normal FF: Promo Cards,0.004161232563179172,0.004161232563179172
Desc Length Opus IV,0.00410607594409465,0.00410607594409465
log(Cost) Opus XI,-0.0027658970011548035,0.0027658970011548035
Ability Count Hero,-0.0011104913345936773,0.0011104913345936773
Ability Count Opus IV,-0.0005019591082839475,0.0005019591082839475
Has EX Burst Opus XI,-0.00018893462829874114,0.00018893462829874114
Opus III Opus VII,0.0,0.0
Opus IV Opus VI,0.0,0.0
Opus IV Opus V,0.0,0.0
Opus IV Opus IX,0.0,0.0
Opus X Opus XI,0.0,0.0
Opus X Opus XII,0.0,0.0
Opus III Opus XII,0.0,0.0
Opus III Opus XI,0.0,0.0
Opus III Opus X,0.0,0.0
Opus III Opus VIII,0.0,0.0
Opus VI Opus VIII,0.0,0.0
Opus III Opus VI,0.0,0.0
Opus III Opus IX,0.0,0.0
Opus III Opus IV,0.0,0.0
Opus II Opus XII,0.0,0.0
Opus II Opus XI,0.0,0.0
Opus II Opus X,0.0,0.0
Opus II Opus VIII,0.0,0.0
Opus II Opus VII,0.0,0.0
Opus II Opus VI,0.0,0.0
Opus II Opus V,0.0,0.0
Opus II Opus IX,0.0,0.0
Opus II Opus IV,0.0,0.0
Opus II Opus III,0.0,0.0
Opus III Opus V,0.0,0.0
Opus IV Opus VII,0.0,0.0
Opus VI Opus VII,0.0,0.0
Opus IV Opus VIII,0.0,0.0
Opus VI Opus X,0.0,0.0
Opus V Opus XII,0.0,0.0
Opus V Opus XI,0.0,0.0
Opus V Opus X,0.0,0.0
Opus V Opus VIII,0.0,0.0
Opus V Opus VII,0.0,0.0
Opus V Opus VI,0.0,0.0
Opus IX Opus XII,0.0,0.0
Opus IX Opus XI,0.0,0.0
Opus IX Opus X,0.0,0.0
Opus IX Opus VIII,0.0,0.0
Opus IX Opus VII,0.0,0.0
Opus IX Opus VI,0.0,0.0
Opus IX Opus V,0.0,0.0
Opus IV Opus XII,0.0,0.0
Opus IV Opus XI,0.0,0.0
Opus VI Opus XI,0.0,0.0
Opus IV Opus X,0.0,0.0
Opus VI Opus XII,0.0,0.0
Opus I Opus XI,0.0,0.0
Opus VII Opus VIII,0.0,0.0
Opus VII Opus X,0.0,0.0
Opus VII Opus XI,0.0,0.0
Opus VII Opus XII,0.0,0.0
Opus VIII Opus X,0.0,0.0
Opus VIII Opus XI,0.0,0.0
Opus VIII Opus XII,0.0,0.0
Opus I Opus XII,0.0,0.0
FF: Promo Cards Opus VIII,0.0,0.0
Opus I Opus X,0.0,0.0
Rare Starter,0.0,0.0
Promo Opus XI,0.0,0.0
Promo Opus X,0.0,0.0
Promo Opus VIII,0.0,0.0
Promo Opus VII,0.0,0.0
Promo Opus VI,0.0,0.0
Promo Opus V,0.0,0.0
Promo Opus IX,0.0,0.0
Promo Opus IV,0.0,0.0
Promo Opus III,0.0,0.0
Promo Opus II,0.0,0.0
Promo Opus I,0.0,0.0
Promo Starter,0.0,0.0
Promo Rare,0.0,0.0
Full Art Opus I,0.0,0.0
Full Art Opus II,0.0,0.0
Full Art Opus III,0.0,0.0
Full Art Opus IV,0.0,0.0
Full Art Opus V,0.0,0.0
Full Art Opus VI,0.0,0.0
Full Art Opus VII,0.0,0.0
Full Art Opus VIII,0.0,0.0
Hero Starter,0.0,0.0
Legend Starter,0.0,0.0
Legend Rare,0.0,0.0
Legend Promo,0.0,0.0
Promo Opus XII,0.0,0.0
Hero Rare,0.0,0.0
Opus I Opus VIII,0.0,0.0
Hero Promo,0.0,0.0
Opus I Opus VII,0.0,0.0
Opus I Opus VI,0.0,0.0
Opus I Opus V,0.0,0.0
Opus I Opus IX,0.0,0.0
Opus I Opus IV,0.0,0.0
Opus I Opus III,0.0,0.0
Opus I Opus II,0.0,0.0
FF: Promo Cards Opus XII,0.0,0.0
FF: Promo Cards Opus XI,0.0,0.0
FF: Promo Cards Opus X,0.0,0.0
FF: Promo Cards Opus VII,0.0,0.0
FF: Promo Cards Opus VI,0.0,0.0
FF: Promo Cards Opus V,0.0,0.0
FF: Promo Cards Opus IX,0.0,0.0
